Customer Name,Employee Name,Route Name,State
C1203,1024,Belwa-Bihari Chapra,
C1203,1024,Katehari,
C1203,1024,Gherwa-Baluipur,
C0893,1024,Local -Thoothibari,
C0893,1007,Local -Thoothibari,
C2399,1024,Mahdeva-Harpur,
C2399,1007,Mahdeva-Harpur,
C2399,1024,Shyam Deurva,
C2399,1007,Shyam Deurva,
C2399,1024,Local-Partawal,
C2399,1007,Local-Partawal,
C0669,1024,Local -Captanganj,
C0669,1007,Local -Captanganj,
C0669,1024,Local -Muthauli,
C0669,1007,Local -Muthauli,
C1291,1024,Local -Katkuiya,
C1291,1007,Local -Katkuiya,
C0537,1024,Local -Tamkuhi Road,
C0537,1007,Local -Tamkuhi Road,
C0537,1024,Tamkuhi Raj,
C0537,1007,Tamkuhi Raj,
C2740,1039,Tarkulva,
C2740,1039,Jokwa,
C2740,1039,Shivpur -Saphan,
C2740,1039,Local  -Kasia,
C0078,1039,Local-PATHARDEVA,
C0078,1227,Local-PATHARDEVA,
C0365,1039,Nooriganj Ghati,
C0365,1227,Nooriganj Ghati,
C0365,1039,Local- Hatwa,
C0365,1227,Local- Hatwa,
C0693,1039,Local-Bishunpura,
C0693,1227,Local-Bishunpura,
C0693,1039,Mahuwadeeh-Rampur Karkhana,
C0693,1227,Mahuwadeeh-Rampur Karkhana,
C0693,1039,Baitalpur-Local,
C0693,1227,Baitalpur-Local,
C1336,1039,Local-Khukhundu,
C1336,1227,Local-Khukhundu,
C1336,1039,Sonughat-Bhulauni-Veerpur,
C1336,1227,Sonughat-Bhulauni-Veerpur,
C1336,1227,Local-Noorkhar-Bakuntpur,
C1336,1039,Noorkhar-Bakuntpur,
C1724,1039,Local-Lartown,
C1724,1227,Local-Lartown,
C1724,1039,Lar Road-Mail Chauraha,
C1724,1227,Lar Road-Mail Chauraha,
C1724,1039,Sohagra Raod-Guthani-Mahrauna,
C1724,1227,Sohagra Raod-Guthani-Mahrauna,
C1981,1039,Madanpur-Mahen,
C1981,1227,Madanpur-Mahen,
C1981,1039,Narayanpur-Pachlari,
C1981,1227,Narayanpur-Pachlari,
C1981,1039,Bus Stand,
C1981,1227,Bus Stand,
C1981,1039,Jamaniya,
C1981,1227,Jamaniya,
C2102,1039,Local-BhatparRani,
C2102,1039,Stand Market-Fulwaria,
C2102,1227,Stand Market-Fulwaria,
C2102,1227,Bhagalpur Local,
C2628,1039,Bhagalpur Local,
C2628,1227,Bhagalpur Local,
C2909,1039,Salempur Local,
C2909,1227,Salempur Local,
C0096,,Bakhira Road,
C0096,1319,Bakhira Road,
C0096,,Local-Rudhauli,
