field
Sr_No  
Unique_Store_ID  
Emp_Name  
Survey_Date  
Survey_Month  
Lattitude  
Longitude  
Lead_Type  
Self_Others  
Site_Location  
State  
District  
Total_Qty_Required_MT
Monthly_Qty_Required_MT
Current_Brand_used  
Expected_Rate_Per_Bag  
Current_price  
Contact_person_name  
Designation  
Contact_number  
Mail_ID  
Mode_of_Payment  
Credit_Terms  
AAC_Block_is_required_or_not  
Category_type_of_construction  
Lead_status  
Type_of_lead  
Next_Visit_Date  
Lead_Action  
Lead_Remarks  
Assigned_to  
Quotation_Required  
PO  
Remarks  
Requirement_timings  
Action_Taken  
Approved_Price  
Sales_Org  
Division  
Distribution_Channel  
Document_Type  
Customer_Reference_No  
Customer_Reference_Date  
Valid_to_Date  
Material_Number  
Sold_to_Party  
Ship_to_Party  
Version
Plant  
Share_Lead_Site_Details  
